ECONOMY,YEAR,US Dollars at current prices and current exchange rates in millions,US Dollars at current prices and current exchange rates per capita,Percentage of total world,Percentage of Gross Domestic Product
          Algeria,1999,3098.77,102.9525556,0.043415226,6.370738498
          Algeria,2000,3378.87,110.6598921,0.045353823,6.166901635
          Algeria,2001,4486.77,144.8176041,0.060002922,8.130988186
          Algeria,2002,5551.77,176.5726366,0.074011587,9.748913753
          Algeria,2003,6185.47,193.8200876,0.065890348,9.093983478
          Algeria,2004,7067.37,218.1553133,0.063666193,8.282152966
          Algeria,2005,8148.47,247.7608476,0.070470161,7.893210483
          Algeria,2006,9943.87,297.7923963,0.069535564,8.483916382
          Algeria,2007,11605.67,342.2834578,0.064832259,8.589239513
          Algeria,2008,14199.27,412.4334394,0.091897018,8.284656379
          Algeria,2009,16945.67,484.8523189,0.093928615,12.28908559
          Algeria,2010,19209.67,541.6024965,0.096498701,12.10823094
          Algeria,2011,21780.67,605.3516722,0.106568442,11.69895998
          American Samoa,1980,..,..,..,..
          American Samoa,1981,..,..,..,..
          American Samoa,1982,..,..,..,..
          American Samoa,1983,..,..,..,..
          American Samoa,1984,..,..,..,..
          American Samoa,1985,..,..,..,..
          American Samoa,1986,..,..,..,..
          American Samoa,1987,..,..,..,..
          American Samoa,1988,..,..,..,..
          American Samoa,1989,..,..,..,..
          American Samoa,1990,..,..,..,..
          American Samoa,1991,..,..,..,..
          American Samoa,1992,..,..,..,..
          American Samoa,1993,..,..,..,..
          American Samoa,1994,..,..,..,..
          American Samoa,1995,..,..,..,..
          American Samoa,1996,..,..,..,..
          American Samoa,1997,..,..,..,..
          American Samoa,1998,..,..,..,..
          American Samoa,1999,..,..,..,..
          American Samoa,2000,..,..,..,..
          American Samoa,2001,..,..,..,..
          American Samoa,2002,..,..,..,..
          American Samoa,2003,..,..,..,..
          American Samoa,2004,..,..,..,..
          American Samoa,2005,..,..,..,..
          American Samoa,2006,..,..,..,..
          American Samoa,2007,..,..,..,..
          American Samoa,2008,..,..,..,..
          American Samoa,2009,..,..,..,..
          American Samoa,2010,..,..,..,..
          American Samoa,2011,..,..,..,..
          Andorra,1980,..,..,..,..
          Andorra,1981,..,..,..,..
          Andorra,1982,..,..,..,..
          Andorra,1983,..,..,..,..
          Andorra,1984,..,..,..,..
          Andorra,1985,..,..,..,..
          Andorra,1986,..,..,..,..
          Andorra,1987,..,..,..,..
          Andorra,1988,..,..,..,..
          Andorra,1989,..,..,..,..
          Andorra,1990,..,..,..,..
          Andorra,1991,..,..,..,..
          Andorra,1992,..,..,..,..
          Andorra,1993,..,..,..,..
          Andorra,1994,..,..,..,..
          Andorra,1995,..,..,..,..
          Andorra,1996,..,..,..,..
          Andorra,1997,..,..,..,..
          Andorra,1998,..,..,..,..
          Andorra,1999,..,..,..,..
          Andorra,2000,..,..,..,..
          Andorra,2001,..,..,..,..
          Andorra,2002,..,..,..,..
          Andorra,2003,..,..,..,..
          Andorra,2004,..,..,..,..
          Andorra,2005,..,..,..,..
          Andorra,2006,..,..,..,..
          Andorra,2007,..,..,..,..
          Andorra,2008,..,..,..,..
          Andorra,2009,..,..,..,..
          Andorra,2010,..,..,..,..
          Andorra,2011,..,..,..,..
          Angola,1980,60.82001,7.962380964,0.008701607,1.128414216
          Angola,1981,109.87001,13.90166952,0.014665582,2.178020924
          Angola,1982,225.68001,27.54958938,0.028785533,4.473793931
          Angola,1983,330.01001,38.86273768,0.039451761,6.277492039
          Angola,1984,397.15001,45.19924199,0.045865909,7.126922546
          Angola,1985,675.15001,74.47414843,0.068362857,9.834049659
          Angola,1986,909.15001,97.52160192,0.080008806,14.11071223
          Angola,1987,1028.15001,107.5156272,0.076892968,13.85793988
          Angola,1988,1159.15001,118.2844756,0.07583667,14.47147805
          Angola,1989,1359.15001,135.2042727,0.073950461,14.58157323
          Angola,1990,1024.35001,99.11416121,0.04922045,9.948160954
          Angola,1991,1688.85001,158.525145,0.072035864,13.87994559
          Angola,1992,1976.81001,179.662472,0.081508157,14.14596681
          Angola,1993,2278.91101,200.4010825,0.087356431,22.50457757
          Angola,1994,2449.21101,208.5684538,0.085882841,23.5014669
